,class,precision,recall,f_score,support
0,(a) walking,0.9473684210526315,0.8571428571428571,0.9,42
1,(b) walking upstairs,0.8775510204081632,0.7962962962962963,0.8349514563106796,54
2,(c) walking downstairs,0.5531914893617021,0.8666666666666667,0.6753246753246753,30
3,(d) riding elevator up,0.75,0.42857142857142855,0.5454545454545454,42
4,(e) riding elevator down,0.5,0.9,0.6428571428571429,30
5,(f) riding escalator up,0.851063829787234,0.9523809523809523,0.898876404494382,42
6,(g) riding escalator down,0.9487179487179487,0.8809523809523809,0.9135802469135802,42
7,(h) sitting,0.9666666666666667,0.6904761904761905,0.8055555555555556,42
8,(i) eating,0.9736842105263158,0.8809523809523809,0.925,42
9,(j) drinking,0.7222222222222222,0.48148148148148145,0.5777777777777777,54
10,(k) texting,0.9318181818181818,0.9761904761904762,0.9534883720930233,42
11,(l) phone calls,0.6944444444444444,0.8333333333333334,0.7575757575757577,30
12,(m) working on pc,0.9534883720930233,0.9761904761904762,0.9647058823529412,42
13,(n) reading,1.0,1.0,1.0,30
14,(o) writing sentences,0.9354838709677419,0.9666666666666667,0.9508196721311476,30
15,(p) organizing files,0.9487179487179487,0.8809523809523809,0.9135802469135802,42
16,(q) running,0.9032258064516129,0.9333333333333333,0.9180327868852459,30
17,(r) push-ups,0.9,1.0,0.9473684210526316,54
18,(s) sit-ups,0.7619047619047619,0.7619047619047619,0.7619047619047619,42
19,(t) cycling,0.7941176470588235,0.9,0.84375,30
