,class,precision,recall,f_score,support
0,walking,0.7361702127659574,0.8841567291311755,0.8034055727554179,587
1,climbing stairs,0.6714285714285714,0.29012345679012347,0.4051724137931034,162
2,chopping food,1.0,0.8362068965517241,0.9107981220657276,116
3,riding elevator,0.5454545454545454,0.17391304347826086,0.26373626373626374,69
4,brushing teeth,0.14285714285714285,1.0,0.25,3
5,riding escalator,0.7191011235955056,0.5203252032520326,0.6037735849056604,123
6,talking to people,0.5,0.7171717171717171,0.5892116182572614,99
7,watching tv,0.2857142857142857,0.3333333333333333,0.30769230769230765,36
8,eating,0.8707037643207856,0.9851851851851852,0.9244135534317984,540
9,cooking on stove,0.9,0.9473684210526315,0.9230769230769231,19
10,browsing mobile phone,0.9483870967741935,0.9245283018867925,0.9363057324840764,159
11,washing dishes,0.76,1.0,0.8636363636363636,19
12,working on pc,0.8686868686868687,0.6935483870967742,0.7713004484304934,124
13,reading,0.9576271186440678,0.8737113402061856,0.9137466307277627,388
14,writing,0.9090909090909091,0.8974358974358975,0.9032258064516129,78
15,lying down,0.916256157635468,0.9637305699481865,0.9393939393939394,193
16,running,0.9442379182156134,0.8494983277591973,0.8943661971830986,299
17,doing push ups,0.9776951672862454,0.8885135135135135,0.9309734513274337,296
18,doing sit ups,0.8841201716738197,0.8110236220472441,0.8459958932238193,254
19,cycling,0.6462093862815884,0.8287037037037037,0.7261663286004056,216
