,class,precision,recall,f_score,support
0,walking,1.0,0.9523809523809523,0.975609756097561,42
1,walking upstairs,0.94,0.8703703703703703,0.9038461538461539,54
2,walking downstairs,0.5869565217391305,0.9,0.7105263157894737,30
3,riding elevator up,0.6666666666666666,0.5238095238095238,0.5866666666666667,42
4,riding elevator down,0.5294117647058824,0.9,0.6666666666666667,30
5,riding escalator up,0.926829268292683,0.9047619047619048,0.9156626506024096,42
6,riding escalator down,0.9166666666666666,0.7857142857142857,0.8461538461538461,42
7,sitting,0.8484848484848485,0.6666666666666666,0.7466666666666666,42
8,eating,0.8604651162790697,0.8809523809523809,0.8705882352941177,42
9,drinking,0.625,0.37037037037037035,0.4651162790697674,54
10,texting,0.8076923076923077,1.0,0.8936170212765957,42
11,phone calls,0.6842105263157895,0.8666666666666667,0.7647058823529413,30
12,working on pc,0.9333333333333333,1.0,0.9655172413793104,42
13,reading,0.9333333333333333,0.9333333333333333,0.9333333333333333,30
14,writing sentences,1.0,1.0,1.0,30
15,organizing files,0.9354838709677419,0.6904761904761905,0.7945205479452055,42
16,running,0.9,0.9,0.9,30
17,push-ups,0.9137931034482759,0.9814814814814815,0.9464285714285714,54
18,sit-ups,0.6590909090909091,0.6904761904761905,0.6744186046511628,42
19,cycling,0.9655172413793104,0.9333333333333333,0.9491525423728815,30
